Sample	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5	Average Across Loops	STDEV		
HDLA_nonaux_mode3_0.	78.051712	77.842477	77.721362	77.654051	76.789809	77.611882	0.483785		70.66924913
HDLA_nonaux_mode3_1.	62.032706	64.73519	63.293468	62.513869	60.2848	62.572006	1.637483		6.507743909
HDLA_nonaux_mode3_2.	72.447484	72.664489	70.826921	70.256611	72.923788	71.823859	1.199538		
HDLA_nonaux_mode9_0.	68.633205	71.851143	73.244715	71.624841	70.535047	71.17779	1.718536		70.19684813
HDLA_nonaux_mode9_1.	61.330703	62.116047	61.671548	62.523239	61.796368	61.887581	0.453145		6.733727874
HDLA_nonaux_mode9_2.	76.642127	77.032442	77.507136	79.122532	77.321629	77.525173	0.950771		
HDNA_aux_mode3_0.	47.231891	47.590095	47.245204	48.339327	46.796726	47.440649	0.575841		40.80086047
HDNA_aux_mode3_1.	36.015368	36.018777	37.792447	37.526854	37.320963	36.934882	0.854351		5.175564793
HDNA_aux_mode3_2.	32.761366	38.078331	39.757589	40.180131	39.357838	38.027051	3.046784		
HDNA_aux_mode9_0.	36.653608	38.980144	38.571558	39.183315	39.712958	38.620317	1.173736		36.0376406
HDNA_aux_mode9_1.	26.683772	29.605863	31.282494	30.760753	29.233285	29.513233	1.787414		5.236270132
HDNA_aux_mode9_2.	34.247832	40.923734	41.161664	41.947342	41.616287	39.979372	3.22849		
HDNA_equmesh_mode3_0.	92.027658	89.727057	91.492044	91.54682	90.958687	91.150453	0.881208		87.14873687
HDNA_equmesh_mode3_1.	48.160471	50.530266	53.140743	50.637832	48.546759	50.203214	1.990074		29.7225909
HDNA_equmesh_mode3_2.	123.174986	118.102918	118.236841	120.98024	119.967731	120.092543	2.104001		
HDNA_equmesh_mode9_0.	108.025126	104.158871	103.438841	101.896616	101.410374	103.785966	2.619309		95.715889
HDNA_equmesh_mode9_1.	128.094986	130.947308	125.354159	127.892624	124.744496	127.406715	2.477197		51.71142601
HDNA_equmesh_mode9_2.	-10.620135	4.416159	157.240688	122.007239	6.730983	55.954987	77.67431		
HDNA_nonaux_mode3_0.	123.252884	122.64815	118.984546	117.816524	119.761941	120.492809	2.357702		115.7313045
HDNA_nonaux_mode3_1.	119.667361	118.007453	120.710498	118.326891	116.565584	118.655558	1.592371		5.979110771
HDNA_nonaux_mode3_2.	108.978517	109.117022	108.365193	109.315324	104.45168	108.045547	2.040152		
HDNA_nonaux_mode9_0.	108.151792	107.525697	106.929768	108.908791	109.353477	108.173905	0.987419		96.4440512
HDNA_nonaux_mode9_1.	90.085248	89.416959	91.412609	92.562192	88.075605	90.310523	1.741312		8.682132541
HDNA_nonaux_mode9_2.	92.925473	90.812068	90.603304	89.380142	90.517643	90.847726	1.288488		
LDHA_aux_mode3_0.	8.80108	8.433968	8.466061	9.456804	8.825211	8.796625	0.411541		7.775231
LDHA_aux_mode3_1.	6.101918	6.519769	6.573989	6.322303	6.775047	6.458605	0.256415		1.058631594
LDHA_aux_mode3_2.	8.10799	8.223591	8.345218	7.505231	8.170285	8.070463	0.327795		
LDHA_aux_mode9_0.	7.89422	7.937518	7.835991	8.026242	7.799691	7.898732	0.088782		7.077103733
LDHA_aux_mode9_1.	7.637518	6.742595	7.268563	6.562844	7.472181	7.13674	0.46513		0.796822693
LDHA_aux_mode9_2.	6.168619	6.86024	5.684264	6.177744	6.088326	6.195838	0.423015		
LDHA_equmesh_mode3_0.	22.108997	21.654596	22.270941	21.986195	21.338851	21.871916	0.374124		27.1600052
LDHA_equmesh_mode3_1.	29.21618	29.239467	29.65666	28.89427	29.320871	29.26549	0.272486		3.933123137
LDHA_equmesh_mode3_2.	29.774557	29.574629	30.242418	31.81306	30.308386	30.34261	0.878338		
LDHA_equmesh_mode9_0.	36.537417	36.011833	37.213327	36.335278	36.205775	36.460726	0.462204		35.2535916
LDHA_equmesh_mode9_1.	34.418767	34.568012	33.941965	34.095809	34.68722	34.342355	0.314956		1.222886969
LDHA_equmesh_mode9_2.	37.347001	34.220361	33.774883	34.87813	34.568096	34.957694	1.397284		
LDHA_nonaux_mode3_0.	18.836167	19.325153	19.129436	19.139566	19.53856	19.193776	0.260336		20.9986484
LDHA_nonaux_mode3_1.	22.364994	23.987668	24.328581	24.479882	24.705604	23.973346	0.936212		2.290720764
LDHA_nonaux_mode3_2.	18.995086	20.156741	19.524345	19.496235	20.971708	19.828823	0.760289		
LDHA_nonaux_mode9_0.	14.059118	14.150816	13.439836	13.303262	13.986119	13.78783	0.387486		10.797646
LDHA_nonaux_mode9_1.	5.716763	5.627301	5.983785	7.677373	6.855262	6.372097	0.876379		3.351931895
LDHA_nonaux_mode9_3.	11.935649	12.413696	12.228064	12.823081	11.764565	12.233011	0.414946		
LDLA_aux_mode3_0.	21.319979	21.120109	20.539905	19.778698	21.175457	20.78683	0.637114		20.53438373
LDLA_aux_mode3_1.	20.310451	20.509867	19.712355	20.877241	21.33106	20.548195	0.607818		0.623695485
LDLA_aux_mode3_2.	21.312541	20.315434	19.624544	20.221267	19.866848	20.268127	0.646231		
LDLA_aux_mode9_0.	14.686944	16.36445	15.664002	15.654396	15.198309	15.51362	0.622326		16.46085753
LDLA_aux_mode9_1.	14.077366	16.405985	16.382707	15.805162	15.926768	15.719597	0.956296		1.401206388
LDLA_aux_mode9_2.	18.355763	17.46434	18.198604	18.668136	18.059931	18.149355	0.444805		
LDLA_equmesh_mode3_0.	20.677117	20.528956	20.552278	20.372549	19.838444	20.393869	0.328833		20.952266
LDLA_equmesh_mode3_1.	21.675492	20.608488	20.678838	20.11924	19.81903	20.580218	0.70747		0.873064752
LDLA_equmesh_mode3_2.	21.972011	21.572392	22.895902	21.160719	21.812534	21.882712	0.643628		
LDLA_equmesh_mode9_0.	24.80033	25.772819	25.736296	26.514112	25.671739	25.699059	0.608194		24.07905787
LDLA_equmesh_mode9_1.	24.361713	22.495962	23.783635	23.602652	22.511075	23.351007	0.822893		1.363689735
LDLA_equmesh_mode9_2.	22.435216	22.825774	24.191244	23.681285	22.802016	23.187107	0.723999		
LDLA_nonaux_mode3_0.	10.968004	13.308388	12.090228	13.030288	12.912797	12.461941	0.950366		13.44000487
LDLA_nonaux_mode3_1.	6.886227	8.47154	7.60695	8.263188	8.763688	7.998319	0.753293		5.115960032
LDLA_nonaux_mode3_2.	19.714506	20.924842	19.222177	19.597222	19.840028	19.859755	0.638617		
LDLA_nonaux_mode9_0.	13.064999	13.438143	13.669953	13.396933	12.852585	13.284522	0.323865		15.39125533
LDLA_nonaux_mode9_1.	16.728625	18.02768	17.746091	17.004378	18.104013	17.522157	0.620896		1.855925133
LDLA_nonaux_mode9_2.	14.428213	16.008605	15.481433	15.599503	15.317676	15.367086	0.583645		
LDNA_aux_mode3_0.	9.360842	10.710101	10.257829	9.508634	10.954775	10.158436	0.708302		9.768734533
LDNA_aux_mode3_1.	8.839334	9.643836	8.603425	9.088055	9.297408	9.094412	0.40288		0.776662139
LDNA_aux_mode3_2.	8.900238	10.71911	9.676038	10.309932	10.661461	10.053356	0.766632		
LDNA_aux_mode9_0.	6.82438	6.978446	4.149785	6.427043	5.991928	6.074316	1.141827		8.011149467
LDNA_aux_mode9_1.	9.605091	10.43323	8.990081	10.151332	10.257301	9.887407	0.589342		1.771159685
LDNA_aux_mode9_2.	8.082318	7.524229	7.933037	7.968077	8.850964	8.071725	0.484008		
LDNA_equmesh_mode3_0.	27.978754	27.178321	27.122611	27.441757	26.211242	27.186537	0.641892		25.19863213
LDNA_equmesh_mode3_1.	23.044462	21.756118	21.398012	22.300642	22.0245	22.104747	0.622273		2.386140179
LDNA_equmesh_mode3_2.	26.941187	25.126942	26.729028	26.995337	25.730569	26.304612	0.8335		
LDNA_equmesh_mode9_0.	25.580273	23.796443	24.634093	24.815421	24.796041	24.724454	0.635452		24.8740566
LDNA_equmesh_mode9_1.	23.299222	24.218081	24.523043	24.101617	23.274737	23.88334	0.565797		1.106510893
LDNA_equmesh_mode9_2.	27.271205	25.936106	25.340164	25.234567	26.289836	26.014376	0.825271		
LDNA_nonaux_mode3_0.	11.351439	14.056553	14.554612	14.056717	11.47983	13.09983	1.5515		12.1646198
LDNA_nonaux_mode3_1.	11.359345	13.050543	12.79401	13.138444	12.156879	12.499844	0.744308		1.421959216
LDNA_nonaux_mode3_2.	9.789213	10.973062	11.8924	11.693607	10.122643	10.894185	0.929781		
LDNA_nonaux_mode9_0.	8.017942	8.150087	8.319345	8.957108	9.720137	8.632924	0.70654		7.2570112
LDNA_nonaux_mode9_1.	6.325327	5.940615	3.813237	6.173324	7.222406	5.894982	1.260998		1.576699738
LDNA_nonaux_mode9_2.	5.019093	7.075899	7.328461	8.217228	8.574959	7.243128	1.387824		
